INFO 2020-12-12 14:08:05,619 judge_handler Judge connected from: ('127.0.0.1', 34016)
INFO 2020-12-12 14:08:05,628 judge_handler Judge authenticated: ('127.0.0.1', 34016) (kalia)
INFO 2020-12-12 14:08:49,857 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:09:03,718 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:09:03,765 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:09:35,936 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:09:46,065 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:09:48,841 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:09:53,714 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:09:53,722 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:20,464 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:22,349 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:25,530 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:27,417 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:27,422 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:32,258 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:32,266 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:34,289 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:39,008 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:41,146 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:42,250 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:10:42,532 judge_handler kalia: Updated problem list
INFO 2020-12-12 14:11:06,560 judge_list Free judges: 1
INFO 2020-12-12 14:11:06,562 judge_list Dispatched submission 1 to: kalia
INFO 2020-12-12 14:11:06,584 judge_handler Submission acknowledged: 1
INFO 2020-12-12 14:11:06,789 judge_handler kalia: Submission generated compiler messages: 1
INFO 2020-12-12 14:11:07,064 judge_handler kalia: Grading has begun on: 1
INFO 2020-12-12 14:11:07,147 judge_handler kalia: 2 test case(s) completed on: 1
INFO 2020-12-12 14:11:07,275 judge_handler kalia: 1 test case(s) completed on: 1
INFO 2020-12-12 14:11:07,342 judge_handler kalia: Grading has ended on: 1
INFO 2020-12-12 14:11:07,343 judge_list Judge available after grading 1: kalia
INFO 2020-12-12 14:14:07,401 judge_list Free judges: 1
INFO 2020-12-12 14:14:07,402 judge_list Dispatched submission 2 to: kalia
INFO 2020-12-12 14:14:07,428 judge_handler Submission acknowledged: 2
INFO 2020-12-12 14:14:07,559 judge_handler kalia: Submission generated compiler messages: 2
INFO 2020-12-12 14:14:07,626 judge_handler kalia: Grading has begun on: 2
INFO 2020-12-12 14:14:07,674 judge_handler kalia: 1 test case(s) completed on: 2
INFO 2020-12-12 14:14:07,918 judge_handler kalia: 2 test case(s) completed on: 2
INFO 2020-12-12 14:14:08,956 judge_handler kalia: Grading has ended on: 2
INFO 2020-12-12 14:14:08,956 judge_list Judge available after grading 2: kalia
INFO 2020-12-12 14:14:37,796 daemon Exiting due to SIGINT
INFO 2020-12-12 14:14:39,102 judge_handler Judge disconnected from: ('127.0.0.1', 34016) with name kalia
INFO 2020-12-12 14:18:57,431 judge_handler Judge connected from: ('127.0.0.1', 34418)
INFO 2020-12-12 14:18:57,437 judge_handler Judge authenticated: ('127.0.0.1', 34418) (kalia)
INFO 2020-12-12 14:19:08,590 judge_list Free judges: 1
INFO 2020-12-12 14:19:08,592 judge_list Dispatched submission 2 to: kalia
INFO 2020-12-12 14:19:08,613 judge_handler Submission acknowledged: 2
INFO 2020-12-12 14:19:08,909 judge_handler kalia: Submission generated compiler messages: 2
INFO 2020-12-12 14:19:09,129 judge_handler kalia: Grading has begun on: 2
INFO 2020-12-12 14:19:09,257 judge_handler kalia: 3 test case(s) completed on: 2
INFO 2020-12-12 14:19:09,394 judge_handler kalia: Grading has ended on: 2
INFO 2020-12-12 14:19:09,395 judge_list Judge available after grading 2: kalia
INFO 2020-12-12 14:19:39,527 judge_list Free judges: 1
INFO 2020-12-12 14:19:39,528 judge_list Dispatched submission 2 to: kalia
INFO 2020-12-12 14:19:39,565 judge_handler Submission acknowledged: 2
INFO 2020-12-12 14:19:39,639 judge_handler kalia: Submission generated compiler messages: 2
INFO 2020-12-12 14:19:39,710 judge_handler kalia: Grading has begun on: 2
INFO 2020-12-12 14:19:39,784 judge_handler kalia: 1 test case(s) completed on: 2
INFO 2020-12-12 14:19:39,991 judge_handler kalia: 2 test case(s) completed on: 2
INFO 2020-12-12 14:19:40,885 judge_handler kalia: Grading has ended on: 2
INFO 2020-12-12 14:19:40,887 judge_list Judge available after grading 2: kalia
INFO 2020-12-12 14:26:26,719 judge_list Free judges: 1
INFO 2020-12-12 14:26:26,720 judge_list Dispatched submission 2 to: kalia
INFO 2020-12-12 14:26:26,754 judge_handler Submission acknowledged: 2
INFO 2020-12-12 14:26:26,830 judge_handler kalia: Submission generated compiler messages: 2
INFO 2020-12-12 14:26:26,899 judge_handler kalia: Grading has begun on: 2
INFO 2020-12-12 14:26:26,970 judge_handler kalia: 3 test case(s) completed on: 2
INFO 2020-12-12 14:26:27,034 judge_handler kalia: Grading has ended on: 2
INFO 2020-12-12 14:26:27,035 judge_list Judge available after grading 2: kalia
INFO 2020-12-12 14:26:38,706 judge_list Free judges: 1
INFO 2020-12-12 14:26:38,707 judge_list Dispatched submission 3 to: kalia
INFO 2020-12-12 14:26:38,729 judge_handler Submission acknowledged: 3
INFO 2020-12-12 14:26:38,801 judge_handler kalia: Submission generated compiler messages: 3
INFO 2020-12-12 14:26:38,910 judge_handler kalia: Grading has begun on: 3
INFO 2020-12-12 14:26:38,978 judge_handler kalia: 1 test case(s) completed on: 3
INFO 2020-12-12 14:26:39,089 judge_handler kalia: 2 test case(s) completed on: 3
INFO 2020-12-12 14:26:39,157 judge_handler kalia: Grading has ended on: 3
INFO 2020-12-12 14:26:39,158 judge_list Judge available after grading 3: kalia
INFO 2020-12-12 14:26:51,029 judge_list Abort request: 3
INFO 2020-12-12 14:26:55,817 judge_handler Judge disconnected from: ('127.0.0.1', 34418) with name kalia
INFO 2020-12-12 14:27:18,657 judge_list Free judges: 0
INFO 2020-12-12 14:27:18,658 judge_list Queued submission: 3
INFO 2020-12-12 14:27:24,583 judge_handler Judge connected from: ('127.0.0.1', 34458)
INFO 2020-12-12 14:27:24,591 judge_handler Judge authenticated: ('127.0.0.1', 34458) (kalia)
INFO 2020-12-12 14:27:24,606 judge_list Dispatched queued submission 3: kalia
INFO 2020-12-12 14:27:24,776 judge_handler Submission acknowledged: 3
INFO 2020-12-12 14:27:24,853 judge_handler kalia: Submission generated compiler messages: 3
INFO 2020-12-12 14:27:24,888 judge_handler kalia: Grading has begun on: 3
INFO 2020-12-12 14:27:24,924 judge_handler kalia: 1 test case(s) completed on: 3
INFO 2020-12-12 14:27:25,000 judge_handler kalia: 2 test case(s) completed on: 3
INFO 2020-12-12 14:27:25,101 judge_handler kalia: Grading has ended on: 3
INFO 2020-12-12 14:27:25,102 judge_list Judge available after grading 3: kalia
INFO 2020-12-12 14:27:34,529 judge_handler Judge disconnected from: ('127.0.0.1', 34458) with name kalia
INFO 2020-12-12 14:27:36,216 daemon Exiting due to SIGINT
INFO 2020-12-12 14:52:11,095 judge_handler Judge connected from: ('127.0.0.1', 37382)
INFO 2020-12-12 14:52:11,101 judge_handler Judge authenticated: ('127.0.0.1', 37382) (kalia)
INFO 2020-12-12 14:54:02,593 judge_list Free judges: 1
INFO 2020-12-12 14:54:02,594 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:54:02,621 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:54:02,811 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:54:02,842 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:54:02,902 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:54:02,977 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:54:02,977 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:54:14,255 judge_list Free judges: 1
INFO 2020-12-12 14:54:14,256 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:54:14,279 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:54:14,423 judge_handler kalia: Submission generated compiler messages: 4
